time,up_preprocessed,octez_validator_block_worker_error_count_preprocessed,ocaml_gc_allocated_bytes_preprocessed,octez_p2p_connections_active_preprocessed,process_cpu_seconds_total_preprocessed,octez_store_last_merge_time_preprocessed,octez_validator_chain_synchronisation_status_preprocessed,octez_validator_chain_is_bootstrapped_preprocessed,octez_validator_peer_system_error_preprocessed,octez_validator_peer_unavailable_protocol_preprocessed,octez_validator_peer_unknown_error_preprocessed,octez_p2p_swap_fail_preprocessed,octez_store_invalid_blocks_preprocessed,process_start_time_seconds_preprocessed
8628.741843,,,,,,,0.0,,,,,,,
8628.765214,,,,,,1.0,,,,,,,,
8628.795333,,,,,0.060694969558212075,,,,,,,,,
8628.822303,,,,0.6818181818181821,,,,,,,,,,
8628.845489,,,0.055320049780189895,,,,,,,,,,,
8628.874098,0.0,,,,,,,,,,,,,
8628.912121,,0.0,,,,,,,,,,,,
8688.966895,,,,,,,,,,,,,,0.0
8688.995114,,,,,,,,,,,,,0.0,
8689.015374,,,,,,,,,,,,0.027027027027026973,,
8689.043628,,,,,,,,,,,0.0,,,
8689.061697,,,,,,,,,,0.0,,,,
8689.091709,,,,,,,,,0.0,,,,,
8689.120056,,,,,,,,0.0,,,,,,
8689.15201,,,,,,,0.0,,,,,,,
8689.174108,,,,,,1.0,,,,,,,,
8689.203424,,,,,0.061156517329569504,,,,,,,,,
8689.229682,,,,0.7272727272727275,,,,,,,,,,
8689.253415,,,0.05571442906138058,,,,,,,,,,,
8689.282539,0.0,,,,,,,,,,,,,
8689.319892,,0.0,,,,,,,,,,,,
8749.480803,,,,,,,,,,,,,,0.0
8749.504511,,,,,,,,,,,,,0.0,
8749.50982,,,,,,,,,,,,0.027027027027026973,,
8749.532969,,,,,,,,,,,0.0,,,
8749.552644,,,,,,,,,,0.0,,,,
8749.577323,,,,,,,,,0.0,,,,,
8749.598446,,,,,,,,0.0,,,,,,
8749.62175,,,,,,,0.0,,,,,,,
8749.623019,,,,,,1.0,,,,,,,,
8749.643023,,,,,0.06160144798998113,,,,,,,,,
8749.665891,,,,0.7272727272727275,,,,,,,,,,
8749.687481,,,0.05610048829334735,,,,,,,,,,,
